OBJECTID,LOCATION,Longtitude,Latitude,INTID
393,"EIGHTH AVE, TWENTY-SECOND ST",503488.62,5449781.178,INT130
394,SEYMOUR CRT,507280.899,5451832.404,INT638
395,"SIXTH ST, BRANTFORD ST",505978.7347,5450941.536,INT146
396,KELLY ST,507907.2499,5453393.954,INT902
397,"SECOND ST, CLINTON PL",506900.5181,5450748.186,INT439
398,"RICKMAN PL, CUMBERLAND ST",506453.8482,5452655.06,INT573
399,"MAYES ST, SIXTEENTH ST",504640.0376,5450084.902,INT21
400,"LONDON ST, TENTH ST",504862.0667,5451323.383,INT165
401,"ROYAL AVE, PARK ROW, SECOND ST",506942.6359,5450703.013,INT476
402,"GARRETT ST, BRAID ST",508092.1247,5453204.665,INT765
403,"JACK MAHONY PL, PARK CR, SEVENTH AVE",506443.1258,5451930.464,INT227
404,"HAMILTON ST, TWENTY-SECOND ST",503548.235,5449709.964,INT795
405,"EIGHTH AVE, THIRTEENTH ST",504683.6566,5450765.944,INT119
406,"GLOVER AVE, COLBORNE ST",506059.6681,5452311.124,INT242
407,"KENNEDY ST, NINTH ST",505754.5894,5450424.183,INT873
408,"BRUNETTE AVE, KEARY ST, SPRUCE ST ONRAMP",508054.9065,5452506.5,INT620
409,"HARVEY ST, CUMBERLAND ST",507114.47,5451983.46,INT622
410,"FOURTH AVE, MCPHADEN ST",505273.9725,5450170.706,INT258
411,"ROYAL AVE, SECOND ST",506933.049,5450702.168,INT477
412,"KINGSTON ST, THIRTEENTH ST",504718.8895,5450723.265,INT120
413,"DUBLIN ST, TENTH ST",504930.0325,5451241.492,INT164
414,"FOURTH AVE, SIXTH ST",506071.3395,5450829.272,INT145
415,"SEVENTH AVE, TWENTY-SECOND ST",503606.7507,5449640.202,INT685
416,FIFTH AVE,504712.614,5449995.569,INT771
417,"MINER ST, STRAND AVE",507586.6581,5452234.248,INT346
418,"DEBECK ST, SAPPER ST",507682.1329,5452138.836,INT355
419,E SIXTH AVE,507095.95,5452725.13,INT335
420,SALTER ST,505504.4895,5449202.974,INT2
421,TWENTY-SECOND ST,503614.77,5449630.4,INT47
422,"COLUMBIA ST, FRONT ST",506386.0293,5449779.464,INT821
423,JARDINE ST,503645.8453,5448136.018,INT912
424,"HAMILTON ST, THIRTEENTH ST",504754.0815,5450680.636,INT121
425,"MCBRIDE BLVD, TENTH AVE",505976.0105,5452379.933,INT583
426,"E COLUMBIA ST, HOULT ST",507815.8713,5453461.558,INT877
427,"THIRD AVE, NINTH ST",505824.3807,5450338.932,INT871
428,"MARINE WAY, HIGHWAY 91A",503766.1396,5449473.758,INT773
429,"TWELFTH ST, STEWARDSON WAY, COLUMBIA ST",505663.0087,5449786.443,INT838
430,"RICHMOND ST, SIMPSON ST",507378.2563,5452436.338,INT343
431,CUNNINGHAM ST,506977.4605,5450645.207,INT966
432,"CLUTE ST, COLBORNE ST",506152.149,5452200.306,INT243
433,"MARINE WAY, TWENTY-SECOND ST",503649.0305,5449588.981,INT48
434,SHERBROOKE ST,507744.5834,5452796.542,INT882
435,"SMOKEY SMITH PL, PARK CR",506497.878,5451851.095,INT420
436,"EDINBURGH ST, TENTH ST",504997.051,5451160.546,INT163
437,MCPHADEN ST,505361.5561,5450064.772,INT256
438,"CUMBERLAND ST, COURTNEY CR",506588.8553,5452487.964,INT624
439,"BLACKFORD ST, SIXTH ST",506141.725,5450743.774,INT211
440,LAWRENCE ST,504294.2038,5448207.08,INT929
441,"AGNES ST, ELLIOT ST",507012.1949,5450602.447,INT141
442,"E TENTH AVE, SURREY ST",507170.4845,5453365.763,INT666
443,"THIRD AVE, ANTHONY CT",506618.8505,5450994.41,INT445
444,"COLBORNE ST, OVENS AVE",506194.8502,5452148.064,INT478
445,"ROUSSEAU ST, MAJOR ST",508276.2225,5452988.639,INT767
446,"SEVENTH AVE, THIRTEENTH ST",504825.143,5450594.504,INT289
447,HIGHWAY 91A,503675.9,5449551.11,INT938
448,"E SIXTH AVE, DIXON ST",506951.1907,5452117.643,INT496
449,"HOLMES ST, E TENTH AVE, GARFIELD ST",507596.4098,5453664.297,INT702
450,FRONT ST,506395.309,5449751.137,INT654
451,STAR CR,505465.9789,5449219.618,INT800
452,"ELLIOT ST, DICKENSON ST",507047.0448,5450559.985,INT969
453,"EIGHTH AVE, TENTH ST",505063.924,5451079.626,INT162
454,"SALTER ST, DERWENT WAY",504834.762,5448385.162,INT79
455,"MILTON ST, NINTH ST",505927.5872,5450214.59,INT869
456,"THIRD AVE, SIXTH ST",506212.41,5450658.1,INT209
457,"LONDON ST, HILL ST",504436.7512,5450972.683,INT309
458,"NANAIMO ST, THIRTEENTH ST",504886.7434,5450521.116,INT306
459,"ELLIOT ST, CARNARVON ST",507085.3213,5450513.579,INT970
460,ANTHONY CT,506687.3947,5450911.356,INT446
461,"E EIGHTH AVE, CUMBERLAND ST",506664.0681,5452395.02,INT332
462,"EIGHTH AVE, COLBORNE ST, PARK CR",506264.1013,5452064.375,INT596
463,"EWEN AVE, PEMBINA ST",504597.2622,5448617.108,INT106
464,"TENTH ST, KINGSTON ST",505099.2182,5451037.003,INT382
465,"CUMBERLAND ST, BETH ST",507033.8382,5452023.182,INT494
466,"E EIGHTH AVE, BLAIR AVE",507470.925,5453046.796,INT530
467,"SIXTH AVE, PARK CR",506553.027,5451772.979,INT418
468,E COLUMBIA ST,507801.7642,5452715.03,INT32
469,"BUCHANAN AVE, WARD ST",507553.9719,5452962.282,INT757
470,"QUEENS AVE, NINTH ST",505968.937,5450164.275,INT847
471,"LANCASTER ST, SIXTH ST",506247.4933,5450615.684,INT210
472,NOOTKA ST,507681.808,5453563.806,INT878
473,"EWEN AVE, JARDINE ST",503701.746,5448046.991,INT910
474,"CLARKSON ST, ELLIOT ST",507124.0528,5450466.805,INT852
475,"SIXTH ST, WELSH ST",506261.9041,5450598.242,INT709
476,ELLIOT ST,507130.243,5450459.34,INT972
477,"TENTH ST, HAMILTON ST",505134.7415,5450993.854,INT383
478,NINETEENTH ST,504184.8607,5449752.132,INT686
479,"DUBLIN ST, HILL ST",504500.726,5450895.531,INT308
480,SURREY ST,507286.9824,5453222.407,INT883
481,"ROYAL AVE, LEOPOLD PL",507315.1246,5451002.909,INT239
482,"ST. GEORGE ST, SIXTH ST",506282.3663,5450573.414,INT207
483,"SIXTH AVE, THIRTEENTH ST",504945.9043,5450447.941,INT292
484,MCNEELY ST,506342.9251,5449781.805,INT214
485,"ARCHER ST, SHILES ST",507283.4051,5452492.929,INT341
486,"COLUMBIA ST, MCNEELY ST, FRONT ST",506361.946,5449761.657,INT213
487,"QUEENS AVE, PEELE ST",506762.9684,5450820.485,INT440
488,EWEN AVE,505479.7781,5449181.557,INT282
489,"BOYD ST, BOYNE ST",504270.702,5448929.318,INT85
490,"E DURHAM ST, CUMBERLAND ST",506733.3658,5452309.522,INT349
491,"RIVER DR, NINETEENTH ST",504211.1452,5449718.21,INT539
492,"BOYD ST, BOYNE ST",504280.0346,5448917.105,INT104
493,"LIVERPOOL ST, SIXTH ST, ROBSON AVE",506316.2844,5450532.383,INT458
494,"MARINE WAY, HIGHWAY 91A",503704.611,5449490.113,INT577
495,"WESTMINSTER HWY, BOUNDARY RD",503116.8058,5447885.69,INT922
496,"FOURTH AVE, OLIVER ST",506441.4814,5451135.192,INT448
497,"TENTH ST, SEVENTH AVE",505206.4057,5450907.166,INT381
498,"SALTER ST, DAWE ST",503479.9509,5447519.168,INT64
499,"FOURTH AVE, GILLEY ST",505639.1003,5450472.178,INT363
500,"ELMER ST, RICHMOND ST, SURREY ST",507388.9234,5453104.945,INT515
501,"SALTER ST, VISCOUNT PL",504372.0897,5448086.602,INT96
502,"HAMILTON ST, BELYEA ST",504323.3862,5450325.854,INT741
503,"QUEENS AVE, SIXTH ST",506356.1227,5450484.084,INT208
504,WOOD ST,503973.4167,5449213.804,INT943
505,"PEELE ST, MANITOBA ST",506827.4113,5450742.675,INT183
506,"LEOPOLD PL, BUSHBY ST",507394.8659,5450904.998,INT240
507,"MARINE WAY, HIGHWAY 91A",503726.3565,5449459.069,INT772
508,E COLUMBIA ST,507802.0741,5452688.636,INT31
509,"E COLUMBIA ST, CUMBERLAND ST",507789.5485,5451969.831,INT947
510,"E SEVENTH AVE, CUMBERLAND ST",506802.9489,5452223.784,INT351
511,"CLINTON PL, PEELE ST",506854.7905,5450709.658,INT438
512,SIXTH ST,506412.1706,5450418.854,INT960
513,BENT CT,505983.9653,5450846.755,INT691
514,OLIVER ST,506509.2434,5451051.868,INT447
515,"TENTH ST, NANAIMO ST",505271.2766,5450828.049,INT380
516,"FIFTH AVE, THIRTEENTH ST",505073.9207,5450292.881,INT295
517,"SEVENTH AVE, BELYEA ST",504393.8967,5450240.25,INT740
518,"ROYAL AVE, PEELE ST",506889.2645,5450666.717,INT319
519,"EWEN AVE, HUME ST",503232.9284,5447748.437,INT60
520,SIXTH ST,506447.4113,5450377.398,INT831
521,SALTER ST,504805.3274,5448366.925,INT931
522,"DERWENT WAY, SOUTH DYKE RD",504871.0848,5448300.665,INT58
523,"TENTH AVE, SEVENTEENTH ST",503934.5495,5450697.444,INT832
524,MARINE WAY,503685.9801,5449485.01,INT576
525,"CHURCHILL AVE, SCOTT ST",506886.0723,5452858.816,INT567
526,"EIGHTH AVE, BOWLER ST",503834.3886,5450065.425,INT890
527,"FADER ST, BRAID ST",507998.2901,5453206.609,INT764
528,COLUMBIA ST,507144.8483,5450406.451,INT604
529,"THIRTEENTH ST, CARIBOO ST",505113.0351,5450245.911,INT117
530,VICTORIA ST,506216.2751,5449873.2,INT259
531,STANLEY ST,504738.8083,5449158.914,INT236
532,AGNES ST,506976.4327,5450573.263,INT140
533,"SIXTH AVE, TENTH ST",505326.8955,5450760.751,INT379
534,"ROYAL AVE, SIXTH ST",506488.2434,5450326.383,INT465
535,"CAMERON ST, THIRTEENTH ST",505144.9567,5450206.143,INT118
536,"E SIXTH AVE, CUMBERLAND ST",506924.5632,5452079.184,INT493
537,"THIRD AVE, GILLEY ST",505779.3724,5450301.51,INT45
538,CARNARVON ST,506250.3552,5449830.829,INT676
539,BENT CT,505972.6075,5450837.353,INT134
540,"EWEN AVE, BROOKES ST",505470.1873,5449148.101,INT10
541,"TENTH ST, BOLE ST",505360.8087,5450718.435,INT248
542,"LONDON ST, SEVENTEENTH ST",504002.7574,5450614.318,INT751
543,"THIRTEENTH ST, KAMLOOPS ST",505176.2183,5450168.759,INT271
544,"FAIRWEATHER LANE, STAR CR",505387.8632,5449225.54,INT88
545,"EDWORTHY WAY, SPRUCE ST",508162.8759,5452293.564,INT546
546,"MINER ST, DEBECK ST",507585.8294,5452140.342,INT354
547,"CHESTNUT ST, SCOTT ST",506966.4404,5452759.062,INT566
548,"CUNNINGHAM ST, SIXTH ST",506528.4938,5450274.471,INT464
549,VISCOUNT PL,504442.1139,5447976.979,INT803
550,"FOURTH AVE, THIRTEENTH ST",505217.2347,5450122.746,INT951
551,"E COLUMBIA ST, FRONT ST",507680.13,5451312,INT946
552,"FOURTH AVE, BENT CT",506016.4981,5450784.094,INT133
553,"HIGHWAY 91A, BOUNDARY RD",503116.2826,5447839.647,INT923
554,COLBORNE ST,506241.8962,5452018.91,INT640
555,DERWENT WAY,504891.77,5448255.23,INT59
556,"TENTH ST, HOWAY ST",505418.3409,5450648.549,INT251
557,"AGNES ST, SIXTH ST",506563.7938,5450232.681,INT277
558,"THIRTEENTH ST, FOURTH AVE",505213.9937,5450121.679,INT269
559,"DUBLIN ST, SEVENTEENTH ST",504069.9281,5450533.545,INT749
560,"SEVENTH AVE, BOWLER ST",503975.2317,5449895.529,INT776
561,MOTT CR,506585.7609,5452398.064,INT480
562,"FIFTH AVE, TENTH ST",505453.8168,5450606.612,INT378
563,"WILSON ST, MAJOR ST",508182.49,5452990.43,INT543
564,"VICTORIA ST, SIXTH ST",506599.8665,5450189.551,INT730
565,"E EIGHTH AVE, SCOTT ST",507025.0006,5452686.653,INT565
566,BENT CT,505960.3298,5450827.19,INT415
567,"ROYAL AVE, LOOP, BUSHBY ST",507276.2734,5450970.636,INT695
568,"QUEENS AVE, MCINNES ST",505926.4556,5450128.522,INT846
569,"HIGHWAY 91A, BOUNDARY RD",503116.1388,5447825.439,INT924
570,"RICHMOND ST, ALBERTA ST",507376.6655,5452331.007,INT342
571,"E COLUMBIA ST, HOSPITAL ST",507801.16,5452635.327,INT348
572,"MCPHADEN ST, THIRTEENTH ST, STEWARDSON WAY",505304.7086,5450016.89,INT257
573,"NAPANEE ST, TENTH ST",505488.7348,5450563.201,INT377
574,"SPRUCE ST ONRAMP, SPRUCE ST",508016.1236,5452418.437,INT824
575,"CARNARVON ST, SIXTH ST",506634.3789,5450147.16,INT853
576,"EDINBURGH ST, SEVENTEENTH ST",504137.0687,5450451.763,INT748
577,HIGHWAY 91A,503101.3,5447834.73,INT936
578,"THIRD AVE, STEWARDSON WAY",505361.3757,5449955.501,INT297
579,SPRUCE ST,508209.9435,5452220.081,INT547
580,"E TENTH AVE, BURNABY ST",507111.8929,5453317.301,INT551
581,"BEACH ST, STANLEY ST",504816.9224,5449036.909,INT80
582,"ST. ANDREWS ST, TENTH ST",505523.29,5450521.4,INT376
583,"CLARKSON ST, SIXTH ST",506676.6858,5450096.119,INT463
584,TOWNSEND PL,506630.211,5450869.58,INT442
585,TOWNSEND PL,506609.4634,5450890.003,INT443
586,"SALTER ST, PEMBINA ST",504769.3855,5448345.466,INT801
587,"BELLEVILLE ST, TENTH ST",505559.1357,5450478.074,INT375
588,"SEVENTH AVE, COLBORNE ST",506363.3889,5451865.102,INT226
589,HIGHWAY 91A,503102.09,5447820.84,INT935
590,"EIGHTH AVE, SEVENTEENTH ST",504204.2343,5450370.529,INT747
591,"COLUMBIA ST, SIXTH ST",506714.4301,5450050.89,INT461
592,"ONTARIO ST, MCINNES ST",506028.3172,5450005.969,INT261
593,"SALTER ST, JARDINE ST",503875.6457,5447775.424,INT100
594,"SIXTH AVE, THIRD ST",506096.8105,5451398.43,INT175
595,"PATTULLO ON-RAMP, PATTULLO BRIDGE DECK",507260.9375,5450964.286,INT610
596,"TENTH AVE, FOURTEENTH ST",504301.557,5451000.015,INT314
597,"ROYAL AVE, PATTULLO BRIDGE DECK",507263.0059,5450959.754,INT609
598,"BUCHANAN AVE, KNOX ST",507551.9452,5452861.77,INT758
599,"DEVOY ST, SHILES ST",507187.61,5452494.74,INT337
600,"FOURTH AVE, TENTH ST",505594.4956,5450435.372,INT362
601,"SIXTH AVE, SEVENTH ST",505693.8356,5451064.795,INT166
602,JAMIESON CT,507555.3183,5451394.695,INT634
603,"FRONT ST, SIXTH ST",506761.6737,5449996.001,INT462
604,FOUNDRY ROW,505382.9053,5449182.771,INT904
605,"ROYAL AVE, MCINNES ST",506063.9642,5449961.578,INT368
606,"DOWNIE ST, FOURTEENTH ST",504340.4861,5450952.387,INT311
607,"FAIRWEATHER LANE, FURNESS ST",505286.8941,5449274.852,INT950
608,"BURNABY ST, CHURCHILL AVE",507211.1442,5453194.59,INT552
609,ROBSON AVE,506262.284,5450490.536,INT459
610,"TENTH ST, AUGUSTA ST",505629.6322,5450392.642,INT374
611,"BETH ST, GLENBROOKE DR",506994.9239,5451948.082,INT625
612,"REGINA ST, THIRD ST",506161.4317,5451320.32,INT173
613,"SALTER ST, BROOKES ST",505573.9332,5448985.307,INT1
614,"QUAYSIDE DR, LAGUNA CRT",505589.2654,5449699.416,INT659
615,BURNABY ST,507227.525,5453174.607,INT555
616,"MOODY ST, MCINNES ST",506099.2459,5449919.754,INT367
617,"LONDON ST, FOURTEENTH ST",504369.74,5450917.55,INT310
618,"BLACKLEY ST, STANLEY ST",504884.208,5448941.155,INT81
619,"TENTH AVE, TWENTIETH ST",503492.6998,5450332.635,INT112
620,ARCHER ST,507281.9974,5452386.178,INT340
621,"BELMONT ST, SEVENTH ST",505758.1847,5450987.334,INT167
622,"TENTH ST, CORNWALL ST",505664.6956,5450350.154,INT373
623,SHERBROOKE ST,507596.8956,5452800.713,INT759
624,"AGNES ST, MCINNES ST",506134.0103,5449877.497,INT276
625,"SIXTH AVE, COLBORNE ST",506485.3901,5451717.351,INT229
626,"E TENTH AVE, AMESS ST",507496.7084,5453626.608,INT521
627,"SALTER ST, HUME ST",503416.3875,5447479.645,INT61
628,"SOUTH DYKE RD, PEMBINA ST",504827.7817,5448242.283,INT891
629,"TWENTIETH ST, NINTH AVE",503528.5131,5450288.183,INT111
630,"TENTH ST, OXFORD ST",505699.6614,5450307.842,INT372
631,"FIFTH AVE, THIRD ST",506225.2975,5451242.725,INT177
632,"MCINNES ST, VICTORIA ST",506170.6468,5449835.24,INT275
633,"DUBLIN ST, FOURTEENTH ST",504434.9255,5450838.055,INT315
634,"E COLUMBIA ST, E EIGHTH AVE",507812.13,5453303.46,INT879
635,"LONDON ST, TWENTIETH ST",503560.6581,5450249.815,INT723
636,"FIFTH AVE, SEVENTH ST",505822.1067,5450910.326,INT168
637,"THIRD AVE, TENTH ST",505735.4617,5450265,INT46
638,"CARNARVON ST, MCINNIS OVERPASS",506205.9909,5449794.242,INT364
639,"SAPPER ST, CUMBERLAND ST",507679.7811,5451972.035,INT357
640,"ELGIN ST, THIRD ST",506260.108,5451200.53,INT178
641,"KELLY ST, BRAID ST",507904.4026,5453207.994,INT763
642,"SOUTH DYKE RD, BOUNDARY RD",503110.0234,5447043.882,INT921
643,"ROYAL AVE ONRAMP, MCBRIDE OFF-RAMP, ROYAL OFF-RAMP",507220.2303,5450968.936,INT485
644,"HAMILTON ST, CURNEW ST",504261.5665,5450274.639,INT744
645,"BURNABY ST, CARNEGIE ST",507322.2312,5453057.809,INT554
646,"BRAID ST, CANFOR AVE",508841.1099,5452999.24,INT541
647,"TWENTIETH ST, LONDON ST",503586.9326,5450217.998,INT722
648,"ROYAL AVE, ROYAL OFF-RAMP",507243.0221,5450943.363,INT486
649,"BRUNETTE AVE, ROUSSEAU ST",508280.6322,5452826.858,INT672
650,"ST. PATRICK ST, THIRD ST",506295.6673,5451157.349,INT179
651,"BRANTFORD ST, SEVENTH ST",505870.173,5450851.839,INT169
652,"BOYD ST, HIGHWAY 91A",503752.8471,5448585.783,INT83
653,"EWEN AVE, BOYNE ST",504507.4187,5448560.204,INT54
654,"EDINBURGH ST, FOURTEENTH ST",504503.9622,5450754.687,INT316
655,LAGUNA CRT,505641.4117,5449616.286,INT660
656,"BOYD ST, WOOD ST",504189.9814,5448874.858,INT893
657,"SEVENTH ST, PRESCOTT ST",505890.9467,5450826.707,INT170
658,"DUBLIN ST, TWENTIETH ST",503635.3636,5450159.256,INT777
659,BURNABY ST,507370.3399,5452998.052,INT553
660,"OAKLAND ST, THIRD ST",506331.0908,5451114.859,INT180
661,TWENTY-THIRD ST,503090.3009,5449971.968,INT786
662,"SEVENTH AVE, CURNEW ST",504332.0289,5450190.458,INT901
663,"COLUMBIA ST, MCINNIS OVERPASS",506255.5277,5449727.513,INT653
664,"E EIGHTH AVE, RICHMOND ST",507386.9071,5452977.12,INT562
665,"NINTH AVE, TWENTY-THIRD ST",503113.2361,5449945.109,INT785
666,ROYAL AVE,506826.2748,5450614.661,INT318
667,"BOYD ST, WOOD ST",504194.6185,5448862.958,INT253
668,"SIXTH AVE, HOLLAND ST",504865.5102,5450381.57,INT303
669,"FOURTH AVE, THIRD ST",506365.9425,5451071.963,INT181
670,"E EIGHTH AVE, WELLS GREY PL",507787.3729,5453302.418,INT817
671,"EIGHTH AVE, FOURTEENTH ST",504571.073,5450673.288,INT234
672,"EWEN AVE, STANLEY ST",504944.4217,5448839.039,INT56
673,"FRONT ST, MCINNIS OVERPASS",506258.0777,5449715.72,INT675
674,GIFFORD ST,503314.52,5448276.09,INT942
675,"NANAIMO ST, CURNEW ST",504394.3663,5450117.965,INT739
676,"EDINBURGH ST, TWENTIETH ST",503699.852,5450081.464,INT842
677,"FOURTH AVE, SEVENTH ST",505962.861,5450739.465,INT171
678,"FURNESS ST, STAR CR",505283.936,5449226.368,INT89
679,"QUEENS AVE, TENTH ST",505881.3641,5450089.39,INT371
680,ROYAL AVE,506828.849,5450602.336,INT679
681,"BUCHANAN AVE, SHERBROOKE ST",507551.2139,5452801.237,INT549
682,"ROYAL AVE, MERIVALE ST",506835.7787,5450594.197,INT473
683,"LONDON ST, TWENTY-THIRD ST",503171.8818,5449875.091,INT266
684,FIRST ST,505879.8318,5452280.337,INT959
685,"GARRETT ST, MAJOR ST",508088.8538,5452992.469,INT762
686,"EWEN AVE, JENSEN ST",505395.9537,5449111.076,INT8
687,"BRAID ST, VULCAN ST",508741.118,5453070.266,INT35
688,"SOUTH DYKE RD, JARDINE ST",503990.5112,5447592.458,INT809
689,"FOURTH AVE, STEWARDSON WAY",505157.0188,5450075.206,INT270
690,SEVENTH AVE,503920.6737,5449850.329,INT775
691,"MERIVALE ST, CUNNINGHAM ST",506868.5798,5450554.514,INT474
692,SOUTH DYKE RD,503091.3215,5447026.862,INT927
693,STRAND AVE,507374.974,5452237.798,INT509
694,"HAMILTON ST, FOURTEENTH ST",504641.6575,5450587.63,INT235
695,"SALTER ST, SPAGNOL ST",503386.0019,5447460.65,INT65
696,PATTULLO BRIDGE DECK,507491.7,5450659.64,INT606
697,"EIGHTH AVE, TWENTIETH ST",503762.1166,5450005.813,INT682
698,"DUBLIN ST, TWENTY-THIRD ST",503230.4766,5449804.768,INT789
699,"TENTH ST, AUCKLAND ST",505947.5608,5450009.343,INT866
700,"BLACKFORD ST, SEVENTH ST",506033.0083,5450654.586,INT413
701,"GLOVER AVE, FIRST ST",505937.4902,5452210.41,INT241
702,"TENTH AVE, HENLEY ST",504660.4725,5451295.308,INT392
703,"AGNES ST, MERIVALE ST",506903.3898,5450512.62,INT962
704,MARINE WAY,503558.5207,5449473.258,INT579
705,"CHURCHILL AVE, WILLIAM ST",506809.5294,5452797.064,INT499
706,PATTULLO BRIDGE DECK,507490.66,5450653.46,INT810
707,"E COLUMBIA ST, KEARY ST",507799.7793,5452535.086,INT347
708,"SEVENTH ST, WALMSLEY ST",506065.3346,5450615.442,INT414
709,"FIFTH AVE, HOLLAND ST",504993.4042,5450226.425,INT115
710,"TENTH ST, QUEBEC ST",505982.1003,5449967.203,INT850
711,"TENTH AVE, FOURTH ST",505457.4233,5451952.183,INT202
712,"DICKENSON ST, MERIVALE ST",506938.7092,5450470.471,INT466
713,"QUAYSIDE DR, MCINNIS OVERPASS",506265.2306,5449682.639,INT655
714,"THIRD AVE, THIRD ST",506506.8885,5450901.573,INT137
715,"TWENTIETH ST, HAMILTON ST",503821.0615,5449934.409,INT683
716,"QUAYSIDE DR, RENAISSANCE SQ",505496.735,5449719.333,INT661
717,"EDINBURGH ST, TWENTY-THIRD ST",503289.3921,5449734.769,INT792
718,"GARFIELD ST, HOULT ST",507593.5341,5453465.405,INT525
719,"SEVENTH AVE, FOURTEENTH ST",504712.4369,5450501.913,INT307
720,"DAN LEE AVE, SPAGNOL ST",503412.8362,5447418.089,INT70
721,"EWEN AVE, PHILLIPS ST",503140.7136,5447689.647,INT67
722,MCDONALD ST,507646.6073,5453410.671,INT880
723,ALICE ST,507258.2356,5450876.09,INT697
724,"ROYAL AVE, TENTH ST",506018.1959,5449923.608,INT370
725,"THIRD AVE, SEVENTH ST",506103.7177,5450568.941,INT416
726,"FIRST ST, SINCLAIR AVE",506004.2129,5452128.756,INT639
727,"LONDON ST, HENLEY ST",504728.2198,5451213.273,INT385
728,"CARNARVON ST, MERIVALE ST",506977.1997,5450424.248,INT468
729,"TOWNSEND PL, THIRD ST, WARREN AVE",506554.8067,5450844.065,INT136
730,"TANAKA CRT, GIFFORD ST",503394.1956,5448159.797,INT940
731,VICTORIA ST,506533.1771,5450134.207,INT731
732,"BLACKMAN ST, FOURTH ST",505512.7344,5451884.922,INT201
733,"E SIXTH AVE, MCKAY ST, SHILES ST",507092.2191,5452496.29,INT336
734,"EIGHTH AVE, TWENTY-THIRD ST",503347.3315,5449665.582,INT793
735,"TWENTIETH ST, SEVENTH AVE",503878.1988,5449865.213,INT533
736,"FRONT ST, PATTULLO BRIDGE DECK",507435.1942,5450690.458,INT607
737,"TOWNSEND PL, THIRD ST",506573.2496,5450821.564,INT441
738,"HAMILTON ST, FULTON ST",504226.7923,5450245.519,INT743
739,"CLARKSON ST, MERIVALE ST",507015.0558,5450377.715,INT851
740,"GLENBROOKE DR, EDDIE DR",506880.8808,5451973.335,INT626
741,"NANAIMO ST, FOURTEENTH ST",504773.9744,5450426.928,INT305
742,"WELSH ST, SEVENTH ST",506153.6621,5450508.46,INT708
743,"BOYD ST, HIGHWAY 91A",504161.3532,5448847.874,INT937
744,"DUBLIN ST, HENLEY ST",504796.8081,5451131.607,INT386
745,"OVENS AVE, FIRST ST",506072.201,5452047.128,INT220
746,"FRONT ST, PATTULLO BRIDGE DECK",507431.7799,5450685.58,INT811
747,"AGNES ST, TENTH ST",506086.8059,5449839.403,INT366
748,"NINTH AVE, FOURTH ST",505566.5978,5451819.648,INT200
749,GIFFORD ST,503432.7173,5448109.121,INT941
750,"THIRD ST, LIVERPOOL ST",506615.1539,5450770.099,INT320
751,LEVI ST,505196.3842,5449997.21,INT263
752,"HAMILTON ST, TWENTY-THIRD ST",503407.7472,5449593.528,INT794
753,FURNESS ST,505280.1451,5449181.827,INT90
754,"E TENTH AVE, CHESTNUT ST",507043.67,5453261.13,INT513
755,"TWENTIETH ST, MEAD ST",503943.5364,5449786.225,INT532
756,"RAMA AVE, SPAGNOL ST",503453.0429,5447354.959,INT68
757,"SPRUCE ST ONRAMP, BRUNETTE AVE",507951.2534,5452352.848,INT816
758,"BRUNETTE AVE, SHERBROOKE ST",508250.1778,5452783.958,INT615
759,"SIXTH AVE, FOURTEENTH ST",504833.594,5450355.257,INT304
760,"VICTORIA ST, TENTH ST",506122.5687,5449795.915,INT274
761,"BOYD ST, HIGHWAY 91A",504153.6544,5448842.143,INT939
762,"SEVENTH AVE, FULTON ST",504296.6314,5450160.538,INT742
763,"QUEENS AVE, THIRD ST",506650.6322,5450727.468,INT184
764,MCKENZIE ST,506591.5356,5450055.223,INT647
765,"E EIGHTH AVE, WILLIAM ST, MCKAY ST",506945.8793,5452622.643,INT331
766,"CARNARVON ST, MCKENZIE ST",506560.0225,5450085.943,INT648
767,"COLUMBIA ST, PATTULLO BRIDGE DECK",507379.0545,5450728.02,INT608
768,"SANDRINGHAM AVE, FOURTH ST",505619.2306,5451756.124,INT199
769,"EDINBURGH ST, HENLEY ST",504864.1718,5451050.564,INT387
770,"EIGHTH AVE, FIRST ST",506138.6077,5451966.123,INT219
771,"QUEENS AVE, SEVENTH ST",506247.6387,5450394.633,INT710
772,"SEVENTH AVE, TWENTY-THIRD ST",503466.2542,5449523.274,INT681
773,"WOOD ST, RENNIE PL",504307.0036,5448681.895,INT108
774,"CARNARVON ST, TENTH ST",506157.2889,5449753.785,INT365
775,"E COLUMBIA ST, BRAID ST",507810.8232,5453213.034,INT528
776,"CLARKSON ST, MCKENZIE ST",506601.6787,5450037.388,INT460
777,TWENTY-THIRD ST,503484.8223,5449501.272,INT974
778,"E SIXTH AVE, GLENBROOKE DR",506829.1142,5452000.383,INT492
779,TWENTIETH ST,504052.1574,5449663.387,INT538
780,"THIRD AVE, LEVI ST",505285.6471,5449889.778,INT264
781,"THIRD AVE, LEVI ST",505289.8158,5449884.76,INT265
782,"MANITOBA ST, THIRD ST",506715.0809,5450649.864,INT139
783,"MINER ST, CUMBERLAND ST",507582.3409,5451973.48,INT358
784,"OSBORNE AVE, FOURTH ST",505672.7016,5451691.262,INT198
785,"MCDONALD ST, WELLS GREY PL",507646.1779,5453370.024,INT522
786,"DUFFERIN ST, WELLINGTON ST",507322.8916,5450770.953,INT6
