OBJECTID,LOCATION,Longtitude,Latitude,INTID
159,"COLUMBIA ST, FOURTH ST",506899.3638,5450205.804,INT471
160,"AUCKLAND ST, ELEVENTH ST",505775.4387,5449868.733,INT405
161,"RICHMOND ST, HOSPITAL ST",507381.4384,5452642.528,INT550
162,"ROUSSEAU ST, BRAID ST",508279.6979,5453204.82,INT611
163,"E COLUMBIA ST, HOLMES ST",507820.0966,5453663.243,INT700
164,"HAMILTON ST, TWELFTH ST",504867.43,5450772.127,INT411
165,"E COLUMBIA ST, STRAND AVE",507794.6743,5452227.5,INT508
166,GINGER DR,506857.7259,5451703.026,INT631
167,"E TENTH AVE, KENT ST",507288.07,5453462.69,INT944
168,"QUEBEC ST, ELEVENTH ST",505809.6601,5449827.014,INT404
169,"MARINE DR, FENWICK AVE",503230.1246,5449483.748,INT581
170,"E SIXTH AVE, LIDSTER PL",507034.6944,5452253.719,INT322
171,"FRONT ST, FOURTH ST",506939.4545,5450155.869,INT470
172,"DURHAM ST, SECOND ST",506064.3684,5451761.386,INT230
173,SEVENTH AVE,503713.36,5449729.31,INT684
174,LIDSTER PL,507010.736,5452275.536,INT498
175,"EIGHTH ST, MILTON ST",506048.65,5450314.5,INT37
176,CLUTE ST,506262.3557,5452291.482,INT958
177,"E DURHAM ST, YORK ST",506866.8717,5452417.806,INT333
178,PRETTY CT,503702.9848,5447544.364,INT806
179,"CARNARVON ST, ALEXANDER ST",506403.0747,5449956.4,INT856
180,"ROYAL AVE, ELEVENTH ST",505845.0845,5449783.654,INT124
181,"MOTT CR, MCBRIDE BLVD",506199.2354,5452350.9,INT479
182,"SALTER ST, DOCKSIDE CRT",503178.7393,5447333.872,INT26
183,BRUNETTE AVE,508728.1143,5453472.522,INT825
184,"FIFTH ST, FIFTH AVE",506029.5536,5451056.545,INT642
185,"SEVENTH AVE, TWELFTH ST",504937.0367,5450688.047,INT288
186,"EWEN AVE, MCGILLVRAY PL",504283.809,5448418.241,INT109
187,GARRETT ST,508084.906,5453382.948,INT906
188,"E EIGHTH AVE, CHERRY ST, DEVOY ST, SHERBROOKE ST",507188.4906,5452818.696,INT511
189,"QUEENS AVE, EIGHTH ST",506090.0791,5450264.153,INT38
190,"FOURTH AVE, LOUELLEN ST",505371.4754,5450250.391,INT300
191,"RICHMOND ST, KENT ST",507392.7624,5453340.725,INT753
192,"SEVENTH AVE, SECOND ST",506134.8002,5451676.438,INT231
193,"DUNCAN ST, MERCER ST",505021.1567,5449136.721,INT87
194,QUAYSIDE DR,506558.8534,5449790.576,INT244
195,ALEXANDER ST,506446.6124,5449902.213,INT859
196,"E SIXTH AVE, MCBRIDE BLVD, SIXTH AVE",506669.7623,5451868.41,INT597
197,"E SEVENTH AVE, YORK ST",506935.8783,5452332.555,INT350
198,"ROYAL AVE, WINDSOR ST",507039.2133,5450767.904,INT643
199,SALTER ST,504956.7228,5448463.993,INT78
200,"NANAIMO ST, TWELFTH ST",505001.2514,5450610.295,INT410
201,COLUMBIA ST,506481.7401,5449858.492,INT819
202,"FIFTH ST, FOURTH AVE",506164.5345,5450905.99,INT144
203,"PRINCESS ST, SECOND ST",506195.4075,5451604.25,INT232
204,"TENTH AVE, SIXTH ST",505270.5747,5451798.022,INT457
205,"TRAPP RD, FENWICK AVE",503299.2862,5449385.811,INT845
206,"WINDSOR ST, CUNNINGHAM ST",507073.8917,5450724.743,INT646
207,"CHURCHILL AVE, LAUREL ST",507021.5458,5452968.177,INT557
208,"E COLUMBIA ST, RICHMOND ST",507729.0241,5451529.706,INT636
209,"SALTER ST, HOWES ST",504060.3195,5447893.347,INT805
210,"BASRAN AVE, SUZUKI ST",503486.5332,5447734.918,INT928
211,"STEWARDSON WAY, SIXTH AVE, MARINE WAY",504260.2,5449883.31,INT897
212,"SALTER ST, CAMPBELL ST",504503.7618,5448178.001,INT95
213,"SIXTH AVE, TWELFTH ST",505059.2061,5450541.004,INT290
214,MARINE WAY,503329.95,5449347.49,INT976
215,"AGNES ST, WINDSOR ST",507108.7726,5450682.268,INT967
216,ROYAL AVE,505828.1951,5449769.186,INT125
217,HAMPTON ST,503727.6264,5448216.592,INT911
218,NANAIMO ST,504187.5007,5449947.086,INT887
219,"ROYAL AVE, EIGHTH ST",506221.1372,5450104.986,INT451
220,"SIXTH AVE, SECOND ST",506256.4849,5451530.307,INT176
221,"FIFTH ST, BLACKFORD ST",506234.8512,5450820.731,INT212
222,"CUMBERLAND ST, GLENBROOKE DR",507263.04,5451980.382,INT44
223,"FIFTH AVE, FIFTH ST",505999.26,5451051.59,INT641
224,"TENTH AVE, NINETEENTH ST",503656.1722,5450467.569,INT834
