X,Y,OBJECTID,LOCATION,Longtitude,Latitude,INTID
-13681367.58,6310435.184,106,"AGNES ST, FIRST ST",507151.2941,5450717.979,INT484
-13686481.39,6305490.012,107,"SOUTH DYKE RD, GIFFORD ST",503807.5879,5447487.398,INT101
-13683338.82,6312416.407,108,"SINCLAIR AVE, SECOND ST",505860.153,5452008.89,INT224
-13685804.84,6305930.012,109,SPRICE ST,504250.2855,5447774.945,INT99
-13682490.35,6312684.027,110,"E EIGHTH AVE, MCBRIDE BLVD",506414.9662,5452184.065,INT595
-13682224.38,6309053.594,111,"BEGBIE ST, QUAYSIDE DR",506591.7735,5449815.833,INT245
-13682909.36,6308620.428,112,K DE K CRT,506143.8382,5449532.657,INT907
-13681843.02,6310908.827,113,COLLEGE CRT,506839.8335,5451026.588,INT719
-13681983.42,6309925.705,114,"AGNES ST, FOURTH ST",506748.7637,5450385.068,INT963
-13683298,6312366.972,115,"SECOND ST, SANDRINGHAM AVE",505886.8894,5451976.673,INT223
-13682211.1,6311274.234,116,"FOURTH AVE, ARBUTUS ST",506598.7273,5451264.674,INT429
-13680078.3,6313614.752,117,"FADER ST, SHERBROOKE ST",507991.8546,5452793.155,INT544
-13682499.59,6312685.003,118,"MCBRIDE BLVD, E EIGHTH AVE, EIGHTH AVE",506408.9181,5452184.694,INT587
-13685717.84,6309190.795,119,"STEWARDSON WAY, MARINE WAY",504305.58,5449903.1,INT898
-13683317.65,6310140.335,120,"EIGHTH ST, KENNEDY ST",505875.5806,5450524.103,INT41
-13685068.51,6310778.478,121,"EDINBURGH ST, TWELFTH ST",504729.605,5450939.336,INT389
-13681929.04,6309861.762,122,"DICKENSON ST, FOURTH ST, VICTORIA ST",506784.3963,5450343.391,INT467
-13687183.85,6305057.762,123,PIER PL,503347.8759,5447204.921,INT23
-13681415.94,6312708.424,124,"HARVEY ST, FISHER ST",507117.7398,5452200.841,INT324
-13682509.16,6312685.969,125,"MCBRIDE BLVD, EIGHTH AVE",506402.6575,5452185.317,INT591
-13680928.12,6312217.931,126,"RICHMOND ST, KWANTLEN CT",507437.263,5451881.332,INT503
-13682501.73,6312676.894,127,"MCBRIDE BLVD, EIGHTH AVE",506407.5258,5452179.404,INT594
-13681668.44,6311839.239,128,GINGER DR,506953.2859,5451633.681,INT632
-13685500.19,6307843.56,129,"JOHNSTON ST, BOYD ST, FENTON ST",504448.7196,5449024.055,INT103
